problem_id,Problem,Query,Label,source_index,type,target_name
prob_365,prob_365,"A volunteer organization transports voters to the polls on Election Day either by vans or cars. They have vans which can carry 6 people and cars which can carry 3 people. They need to transport at least 200 voters to the polls. In addition, at most 30% of the vehicles can be vans. How many of each vehicle should be used to minimize the total number of cars used?",15,364,linear-notable,The number of vans
prob_366,prob_366,"A recycling company collects recycling from neighborhoods using small and large bins. A small bin requires 2 workers while a large bin requires 5 workers. A small bin can hold 25 units of recycling material and a large bin can hold 60 units of recycling material. The company has available 100 workers. Because most people don't recycle, the number of small bins must be three times the number of large bins. In addition, there must be at least 10 small bins and 4 large bins. How many of each bin type should be used to maximize the total amount of recycling material that can be collected?",1215,365,linear-notable,The total amount of recycling material collected
prob_367,prob_367,A cell phone company is building rural and urban factories. A rural factory can make 100 phones per day and requires 8 managers. An urban factory can make 200 phones per day and requires 20 managers. The company has available 260 managers and must make at least 3000 phones per day. How many of each factory type should be built to minimize the total number of factories?,25,366,linear-notable,The total number of factories
prob_368,prob_368,"A store sells two types of donuts, regular and jelly-filled. The store pays a baker $4 and $6 for each unit of a regular and jelly-filled donut respectively. The store makes a profit of $2 per regular donut and a profit of $3 per jelly-filled donut. In a month, the store owner expects to sell at most 1000 donuts and wants to spend at most $5000 in buying donuts from the bakery. How many of each type of donut should be bought in order to maximize the total monthly profit?",2500,367,linear-notable,The total monthly profit
prob_369,prob_369,A suspicious factory has 100 sq. feet of space. It makes bootleg phones and laptops. Phones require 2 hours of labor and cost $12 for each sq. foot of space allocated for phone production (cost of electricity and equipment). Laptops require 3 hours of labor and cost $15 for each sq. foot of space allocated for laptop production. Phones produce a net revenue of $50 per sq. foot while laptops produce a net revenue of $70 per sq. foot. The factory wants to spend at most $5000 and 2000 hours of labor. What is the optimal factory layout to maximize revenue?,7000,368,linear-notable,The net revenue
prob_370,prob_370,"A landscaper provides 3 landscaping layouts using different amounts of rock, mulch, and grass. He has 1200 units of rock, 700 units of mulch, and 2000 units of grass. A type A layout has 10 units of rock, 7 units of mulch, and 15 units of grass. A type B layout has 5 units of rock, 12 units of mulch, and 10 units of grass. A type C layout has 12 units of rock, 4 units of mulch, and 12 units of grass. The profit is $200 for each type A layout, $175 for each type B layout, and $225 for each type C layout. How many layouts of each type should be used to maximize profit?",24700,369,linear-notable,Total profit
prob_371,prob_371,"A city is planning to build five different types of public facilities: a library, a community center, a park, a sports complex, and a museum. The city council wants to optimize the allocation of resources to maximize the overall utility of these facilities. The utility of each facility is determined by a non-linear function based on the number of facilities built, as shown in the following Table. | Facility | Utility Function | Cost to Build | |----------------|-------------------------------------------|---------------| | Library | U_lib = 100 * Libraries^0.5 | $50,000 | | Community Center | U_cc = 150 * CommunityCenters^0.6 | $75,000 | | Park | U_park = 200 * Parks^0.7 | $100,000 | | Sports Complex | U_sc = 250 * SportsComplexes^0.8 | $125,000 | | Museum | U_museum = 300 * Museums^0.9 | $150,000 | The city has a budget of $500,000 to spend on these facilities. The city has a land constraint that limits the total number of facilities that can be built to a maximum of 5. The city council has a policy that at least one of each type of facility must be built. The city council wants to maximize the total utility of all facilities.",1000,370,nonlinear-table,Total Utility
prob_372,prob_372,"There has been a horrible accident and patients need to be taken to the hospital by either a helicopter or bus. A helicopter can transport 5 patients per trip and takes 1 hour. On the other hand, a bus can transport 8 patients per trip and takes 3 hours. At least 120 patients need to be transported and at least 30% of the trips should be by helicopter. In addition, there can be at most 10 bus trips. How should the patients be taken to minimize the total time to transport the patients?",24,371,linear-notable,The total time to transport the patients
prob_373,prob_373,"A tech company is planning to launch four new software products: AppX, AppY, AppZ, and AppW. They need to decide how many development teams to allocate to each product for the upcoming quarter, as well as how many external contractor teams to hire. The company aims to maximize the average net profit per team (for both company teams and contractor teams). The estimated revenue, development cost for company teams, development cost for external contractors, and marketing cost per team for each product are given in the following Table. | Product | Estimated Revenue per Team | Development Cost per Company Team | Development Cost per External Contractor | Marketing Cost per Team | |---------|----------------------------|-----------------------------------|------------------------------------------|-------------------------| | AppX | $100,000 | $60,000 | $80,000 | $20,000 | | AppY | $150,000 | $80,000 | $100,000 | $30,000 | | AppZ | $200,000 | $100,000 | $120,000 | $40,000 | | AppW | $120,000 | $70,000 | $90,000 | $25,000 | The company has a total of 30 development teams available for the quarter. Due to market research, the company knows that AppX must have at least twice as many development teams as AppY. The company has a budget of $2,500,000 for marketing costs and external contractors for the quarter. The company wants to ensure that each product has at least one team working on it. Due to cooperation agreements, the company should hire at least 9 external contractors in total.",52948.71794871795,372,nonlinear-table,Average Net Profit per Team
prob_374,prob_374,"A jewelry company produces and sells bracelets and rings. The bracelets are hand-crafted by a team who can make at most 4 bracelets per day. The rings are made by another team who can make at most 7 rings per day. All rings have to be approved by a master jeweler and he can check at most 30 jewels of either type per day. If the profit per bracelet is $700 and the profit per ring is $300, how many of each should the jewelry company make to maximize profit?",4900,373,linear-notable,The maximum profit
prob_375,prob_375,"A lab has 1000 units of medicinal ingredients to make two pills, a large pill and a small pill. A large pill requires 3 units of medicinal ingredients and 2 units of filler. A small pill requires 2 units of medicinal ingredients and 1 unit of filler. The lab has to make at least 100 large pills. However, since small pills are more popular at least 60% of the total number of pills must be small. How many of each should be made to minimize the total number of filler material needed?",350,374,linear-notable,Total amount of filler material used
prob_376,prob_376,"You are the manager of an apartment complex, and you want to increase the rent to rise the profit. According to the contract, you can only increase the rent by 25 dollars each time. At first, the rent is $800/month, and all apartments are rented. Each time the rent is increased by $25, one fewer apartment is rented. Maintenance costs run $50/month for each occupied unit. Please maximizes the total amount of profit?",39975,375,nonlinear-notable,The maximum total profit
prob_377,prob_377,"A farmer has 200 acres of land to grow oranges and grapefruits. He must grow at least 60 acres of oranges and at least 50 acres of grapefruits. The farmer prefers to grow more grapefruits than oranges but due to a shortage, he can grow at most twice the amount of grapefruits as oranges. If the profit per acre of oranges is $200, and the profit per acre of grapefruits is $220, how many acres of each should be grown to maximize profit?",42666.666,376,linear-notable,Total profit
prob_378,prob_378,"A zoo needs to transport their monkeys to the vet either by bus or by car. A bus can transport 20 monkeys per trip and takes 30 minutes. A car can transport 6 monkeys per trip and takes 15 minutes. There can be at most 10 bus trips. In addition, since the monkeys get aggressive when there are too many in one place at least 60% of the trips should be by car. If the zoo needs to transport 300 monkeys, how many trips of each should be done to minimize the total time required to transport the monkeys?",555,377,linear-notable,The total time required to transport the monkeys (minutes)
prob_379,prob_379,"A company produces five types of widgets: X, Y, Z, W, and V. The company needs to decide how many units of each widget to produce in next week. For Widget Y, the selling price is 15$, the material cost is 7$, and the production time is 3 hours. For Widget Z, the selling price is 20$, the material cost is 9$, and the production time is 4 hours. For Widget W, the selling price is 25$, the material cost is 11$, and the production time is 5 hours. For Widget V, the selling price is 30$, the material cost is 13$, and the production time is 6 hours. The company has only one production line and can only produce one widget at a time. The company aims to maximize the rate at which it earns profits (which is defined as the sum of the selling profit divided by the sum of the production times). The company has $900 available for material costs next week. The company wants to produce at least 10 units of each widget next week. The company wants to spend at most 400 hours on production next week. The company wants to ensure that the total production of Widget W does not exceed the combined production of Widgets X, Y, and Z. The company wants to ensure that the total production of Widget V does not exceed the combined production of Widgets X, Y, Z, and W. For Widget X, the selling price is 10$, the material cost is 5$, and the production time is 2 hours.",1116,378,nonlinear-notable,Objective Value (Profit Rate)
prob_380,prob_380,"A food delivery person can either have shifts on bikes or scooters. A shift on a bike can deliver 10 orders, takes 5 units of energy, and brings in $50 on tips because it is faster. A shift on a scooter can deliver 7 orders, takes 6 units of energy, and brings in $43 on tips. The delivery person has available 40 shifts a month and has 230 units of energy and must bring at least 320 orders. He must have at least 5 shifts on a scooter because bikes are harder to get. How many shifts on each type of transportation should the delivery person schedule to maximize tips received?",1965,379,linear-notable,The total tips received
prob_381,prob_381,"A dentist has 3000 units of resin to fill cavities in both molars and canines. Molars require 20 units of resin and 3 units of pain killer. Canines require 15 units of resin and 2.3 units of pain killer. Since this dentist sees more cavities in canines, at least 60% of cavities filled must be in canines. In addition, the dentist must reserve materials to fill at least 45 molars. How many of each type of teeth should the dentist schedule to fill to minimize the amount of pain killer needed?",291.4,380,linear-notable,The total amount of pain killer needed
prob_382,prob_382,"An international shipping company uses large and small ships to transport containers around the world. A large ship can carry 500 containers while a small ship can carry 200 containers. Because most ports are small, the number of large ships cannot exceed the number of small ships. If the company is under contract needs to transport at least 3000 containers, find the minimum number of ships that can be used.",9,381,linear-notable,The minimum number of ships needed
prob_383,prob_383,"A bakery produces 4 types of cakes: chocolate, vanilla, strawberry, and lemon. The bakery has 3 ovens and needs to schedule the baking times (hour) for each type of cake. The operating time of the oven can only be set in increments of one hour. The bakery must also ensure that the total baking time for all cakes does not exceed 24 hours. Each oven can only bake one type of cake at a time, and the bakery must ensure that each type of cake is baked at least once. The bakery has a limited supply of ingredients, which allows for a maximum of 10 hours of baking for chocolate cake, 8 hours for vanilla cake, 6 hours for strawberry cake, and 4 hours for lemon cake. The bakery aims to maximize its daily revenue from selling cakes. The revenue from each type of cake is proportional to the square of its baking time (hour). Specifically, the revenue from chocolate cake is 5 * Tc^2, from vanilla cake is 4 * Tv^2, from strawberry cake is 3 * Ts^2, and from lemon cake is 2 * Tl^2.",833,382,nonlinear-notable,Total Revenue
prob_384,prob_384,"You need to build a window, which is consists of a rectangular piece of clear glass with a semicircular piece of colored glass on top. The distance from top to bottom (across both the rectangle and the semicircle) shoule be at most 2 meters. The window should be no more than 1.5 meters wide. The colored glass transmits only 1/2 as much light per unit area as the clear glass. Find the dimensions of the rectangular portion of the window that lets through the most light.",2.758572988826752,383,nonlinear-notable,The maximum light transmitted
prob_385,prob_385,"Tom Designs manufactures three coats: long, short, and mini. These coats are produced in two different factories: a north one and a south one. Running the north factory for an hour costs $200 and produces 20 long coats, 15 short coats, and 10 mini coats. Running the south factory for an hour costs $400 and yields 30 long coats, 25 short coats, and 30 mini coats. To meet customer demands, a minimum of 75 long coats, 30 short coats, and 40 mini coats must be produced daily. Determine a daily production plan that minimizes the cost of meeting the company’s daily demands.",766.666668,384,linear-notable,Total cost of operation
prob_386,prob_386,We have a piece of cardboard. We are going to cut out the corners and fold up the sides to form a box. The cardboard is 50 cm by 20 cm. Determine the height of the box that will give a maximum volume.,2030.3362935990522,385,nonlinear-notable,The maximum volume of the box
prob_387,prob_387,"A dog school trains labradors and golden retrievers to deliver newspaper. A labrador can deliver 7 newspapers at a time and requires 5 small bone treats for service. A golden retriever can deliver 10 newspapers at a time and requires 6 small bone treats per service. The school only has 1500 small bone treats available. In addition, at least 50 golden retrievers must be used and at most 60% of the dogs can be labradors. How many of each dog should be used to maximize the number of newspapers that can be delivered?",0,386,linear-notable,The number of labradors
prob_388,prob_388,"A rectangular box with a square base, an open top is to be constructed. It should have a volume of at least 216 cubic inches. What should the dimensions of the box be to minimize the surface area of the box?",3.7797631444364974,387,nonlinear-notable,The height of the box
prob_389,prob_389,"A hockey arena can hold at most 300 people and has both heated and regular seats. A profit of $30 is made on each heated seat and a profit of $20 is made on each regular seat. The arena reserves a minimum of 50 seats to be heated seats. However, since it is not too cold, at least 3 times as many people prefer to sit in regular seats. How many of each type of seat must be sold in order to maximize profit? What is the maximum profit?",6750,388,linear-notable,The maximum profit
prob_390,prob_390,"A mask making company ships masks to their retail stores using small boxes and large boxes. A small box holds 25 masks whereas a large box holds 45 masks. Since small boxes are easier to stack and will be used first to stock stores, there must be at least three times as many small boxes as large boxes. Additionally, at least 5 large boxes must be used. If at least 750 masks are required to be distributed, how many of each size of box should be used to minimize the total number of boxes needed?",26,389,linear-notable,The total number of boxes
prob_391,prob_391,"A manufacturing company produces three types of products: ProductA, ProductB, and ProductC. The company needs to decide the number of units to produce for each product in the next month and how much to invest in automation for each product to increase production efficiency. The relationship between automation investment and profit per unit for each product is given in the following Table. | Product | Initial Profit per Unit | Increase in Profit per Unit per $100 Automation Investment | |---------|-------------------------|-----------------------------------------------------------| | ProductA | $50 | $5 | | ProductB | $70 | $7 | | ProductC | $60 | $6 | The company aims to maximize the total profit from all products. The production cost for ProductA is $10 per unit, the production cost for ProductB is $15 per unit, and the production cost for ProductC is $20 per unit. The company has a total budget of $50,000 for production and automation investments. The production capacity for the next month is limited to 1,000 units in total. Due to market demand, the company must produce at least 100 units of ProductA and 150 units of ProductB.",2304500,390,nonlinear-table,Total Profit
prob_392,prob_392,"An industrial tire company delivers large tires for equipment to remote engineering sites either by cargo planes or ultrawide trucks. Each cargo plane can transport 10 tires per trip and costs $1000. Each ultrawide truck can transport 6 tires per trip and costs $700. The company needs to transport at least 200 tires and has available $22000. Because most remote sites don't have proper airports, the number of plane trips cannot exceed the number of ultrawide truck trips. How many trips of each should be done to minimize the total number of trips?",26,391,linear-notable,The total number of trips
prob_393,prob_393,"Find the largest rectangle (that is, the rectangle with largest area) that fits inside the graph of the parabola y = x^2 below the line y = a (a is an unspecified constant value), with the top side of the rectangle on the horizontal line y = a.",3.079201589017748,392,nonlinear-notable,The area of the rectangle
prob_394,prob_394,"Stockco is considering four investments. Investment 1 will yield a net present value (NPV) of $16,000; investment 2, an NPV of $22,000; investment 3, an NPV of $12,000; and in- vestment 4, an NPV of $8,000. Each investment requires a certain cash outflow at the pres- ent time: investment 1, $5,000; investment 2, $7,000; investment 3, $4,000; and investment 4, $3,000. Currently, $14,000 is available for investment. Tell Stockco how to maximize the NPV obtained from investments 1-4.",42000,393,linear-notable,Total NPV
prob_395,prob_395,"Western Pulp (WP) produces recycled paperboard for box manufacturers by combining four grades of recycled paper stock. Each grade of stock has a different strength, color, and texture. The strength, color, and texture of the paperboard are approximately a weighted average of those characteristics of the paper inputs. The following table gives the characteristics of the paper stocks and their cost per ton. WP has received an order for 500 tons of paperboard with a strength rating of at least 7, a color of at least 5, and texture of at least 6. WP would like to determine the least costly mix required to produce this paperboard. Table (Characteristics and cost per ton of each paper grade): | Paper Grade | Strength | Color | Texture | Cost/Ton | |-------------|----------|-------|---------|----------| | 1 | 8 | 9 | 8 | $150 | | 2 | 6 | 7 | 5 | $110 | | 3 | 5 | 5 | 6 | $90 | | 4 | 3 | 4 | 5 | $50 |",65000,394,linear-table,The minimum cost
prob_396,prob_396,"Euing Gas produces two types of gasoline (gas 1 and gas 2) from two types of oil (oil 1 and oil 2). Each gallon of gas 1 must contain at least 50 percent oil 1, and each gallon of gas 2 must contain at least 60 percent oil 1. Each gallon of gas 1 can be sold for 12$, and each gallon of gas 2 can be sold for 14$. Currently, 500 gallons of oil 1 and 1,000 gallons of oil 2 are available. As many as 1,500 more gallons of oil 1 can be purchased at the following prices: first 500 gallons, 25$ per gallon; next 500 gallons, 20$ per gallon; next 500 gallons, 15$ per gallon. Formulate an LP that will maximize Euing's profits (revenues - purchasing costs).",9500,395,linear-notable,The maximum profit
prob_397,prob_397,"Gandhi Cloth Company is capable of manufacturing three types of clothing: shirts, shorts, and pants. The manufacture of each type of clothing requires that Gandhi have the appropriate type of machinery available. The machinery needed to manufacture each type of clothing must be rented at the following rates: shirt machinery, $200 per week; shorts machinery, $150 per week; pants machinery, $100 per week. The manufacture of each type of clothing also requires the amounts of cloth and labor as shown in the following Table 1. Each week, 150 hours of labor and 160 sq yd of cloth are available. The variable unit cost and selling price for each type of clothing are shown in Table 2. Maximize Gandhi's weekly profits. Table 1 (The amount of labor hours and cloth required for each type of clothing): | Clothing Type | Labor Hours | Cloth (sq yd) | | ------------- | ----------- | ------------- | | Shirt | 3 | 4 | | Shorts | 2 | 3 | | Pants | 6 | 4 | Table 2 (Revenue and Cost Information for each type of clothing): | Clothing Type | Sales Price | Variable Cost | | ------------- | ----------- | ------------- | | Shirt | $12 | $6 | | Shorts | $8 | $4 | | Pants | $15 | $8 |",75,396,linear-table,The maximum weekly profit
prob_398,prob_398,"A manufacturing company produces three types of electronic devices: DeviceA, DeviceB, and DeviceC. The company needs to decide the number of units to produce for each device to optimize its profit. Additionally, the company can invest in research and development (R&D) to improve the efficiency of production, which affects the cost and quality of the devices. The company has a production capacity limit of 1000 units in total for all devices. Due to market demand, the number of DeviceA units produced must be at least twice the number of DeviceB units. The company has a budget of $50,000 for R&D investment. The profit per unit of DeviceA is $100, but it decreases by $0.5 for every $1000 spent on R&D. The profit per unit of DeviceB is $150, but it increases by $0.2 for every $1000 spent on R&D. The profit per unit of DeviceC is $200, but it remains constant regardless of R&D investment. The company aims to maximize total profit.",200000,397,nonlinear-notable,Total Profit
prob_399,prob_399,"A bakery makes almond and pistachio croissants. An almond croissant requires 5 units of butter and 8 units of flour. A pistachio croissant requires 3 units of butter and 6 units of flour. The bakery has available 600 units of butter and 800 units of flour. Since the almond croissant is more popular, at least 3 times as many almond croissants should be made as pistachio croissants. If making an almond croissant takes 12 minutes and making a pistachio croissant takes 10 minutes, how many of each should be made to minimize the total production time?",0,398,linear-notable,The total production time in minutes
prob_400,prob_400,"An investor has $70,000 to divide among several investment instruments. The returns for municipal bonds, CDs, t-bills, and growth stocks are given in the following Table. The investor must adhere to specific guidelines for the investment distribution: 1. No more than 20% in municipal bonds. 2. Investment in CDs should not exceed the other three alternatives. 3. At least 30% invested in t-bills and CDs. 4. More should be invested in CDs and t-bills than in municipal bonds and growth stocks by a ratio of 1.2 to 1. 5. All $70,000 should be invested. Formulate an LP to maximize the profit. Table (Investment returns for each instrument): | Investment Instrument | Return Rate | | --------------------- | ----------- | | Municipal Bonds | 8.5% | | CDs | 5% | | T-bills | 6.5% | | Growth Stocks | 13% |",6618.1818299999995,399,linear-table,Total Profit
prob_401,prob_401,"A chocolate maker has contracted to operate a small candy counter in a fashionable store. To start with, the selection of offerings will be intentionally limited. The counter will offer a regular mix of candy made up of equal parts of cashews, raisins, caramels, and chocolates, and a deluxe mix that is one-half cashews and one-half chocolates, which will be sold in one-pound boxes. In addition, the candy counter will offer individual one-pound boxes of cashews, raisins, caramels, and chocolates. A major attraction of the candy counter is that all candies are made fresh at the counter. However, storage space for supplies and ingredients is limited. Bins are available that can hold the amounts shown in the table. Ingredient Capacity (pounds per day) Cashews 120 Raisins 200 Caramels 100 Chocolates 160. In order to present a good image and to encourage purchases, the counter will make at least 20 boxes of each type of product each day. Any leftover boxes at the end of the day will be removed and given to a nearby nursing home for goodwill. The profit per box for the various items has been determined as follows. Item Profit per Box Regular $.80 Deluxe .90 Cashews .70 Raisins .60 Caramels .50 Chocolates .75. Solve for the optimal values of the decision variables and the maximum profit.",433,400,linear-table,The maximum profit
prob_402,prob_402,"There has been an oil spill in the ocean and ducks need to be taken to shore to be cleaned either by boat or by canoe. A boat can take 10 ducks per trip while a canoe can take 8 ducks per trip. Since the boats are motor powered, they take 20 minutes per trip while the canoes take 40 minutes per trip. In order to avoid further environmental damage, there can be at most 12 boat trips and at least 60% of the trips should be by canoe. If at least 300 ducks need to be taken to shore, how many of each transportation method should be used to minimize the total amount of time needed to transport the ducks?",1160,401,linear-notable,The total amount of time
prob_403,prob_403,"A chemical company is transporting their hydrogen using two different methods, high pressure tube trailers and liquefied hydrogen tankers. The first method is a high-pressure tube trailer which can transport 50 cubic meters each per trip at a cost of $500. The second method is using liquefied hydrogen tankers which can transport 30 cubic meters each per trip at a cost of $200. The company needs to transport at least 300 cubic meters of hydrogen and they have budget of $3750 available. In addition, the number of transports done by the high pressure tube trailer method has to be less than the number of transports done by the liquefied hydrogen tanker method. How many of each transportation method should they use to minimize the total number of trips?",8,402,linear-notable,The total number of trips
prob_404,prob_404,"Super Shop sells cat paw snacks and gold shark snacks in bulk. It plans to sell them into two snack mix products. The first mix contains 20% cat paw snacks and 80% gold shark snacks. The second mix contains 35% cat paw snacks and 65% gold shark snacks. The store has on hand 20 kg of cat paw snacks and 50 kg of gold shark snacks. If the profit per kg of the first mix is $12 and the profit per kg of the second mix is $15, how many kg of each should be prepared to maximize profit?",960,403,linear-notable,The total profit
prob_405,prob_405,"A meat processing plant uses two machines, a meat slicer and a meat packer, to make their hams and pork ribs. To produce one batch of hams requires 4 hours on the meat slicer and 2.5 hours on the meat packer. To produce one batch of pork ribs requires 2 hours on the meat slicer and 3.5 hours on the meat packer. Each machine runs for at most 4000 hours per year. If the profit per batch of hams is $150 and the profit per batch of pork ribs is $300, how many batches of each should be made to maximize profit?",342750,404,linear-notable,The total profit
prob_406,prob_406,"A farm is cultivating three types of crops: Corn, Wheat, and Soybeans. The farm needs to decide how many acres to allocate to each crop for the upcoming growing season. Additionally, the farm is considering leasing some of its land to another farmer. For Wheat, the Expected Profit per Acre is $400, the Cost per Acre is $150, and the Water Usage per Acre is 800 gallons. For Soybeans, the Expected Profit per Acre is $300, the Cost per Acre is $100, and the Water Usage per Acre is 500 gallons. For leased land, the Rental Income per Acre is $100. The farm aims to maximize the average profit per acre (which is defined as the total profit divided by the total acres used for all purposes). The farm has a total of 1000 acres available for the season. Due to soil conditions, the farm can allocate at most 400 acres to Corn. The farm has a water allocation of 700,000 gallons for the season. The farm wants to ensure that at least 30 acres are dedicated to each crop. For Corn, the Expected Profit per Acre is $500, the Cost per Acre is $200, and the Water Usage per Acre is 1000 gallons.",290.2173913043478,405,nonlinear-notable,Average Profit per Acre
prob_407,prob_407,"A factory transports rice to the city in horse-drawn carts that are either medium or large size. A medium sized cart requires 2 horses and can carry 30 kg of rice. A large sized cart requires 4 horses and can carry 70 kg of rice. The factory has 60 horses available. Because the horses don't get along well, the number of medium sized carts must be three times the number of large sized carts. In addition, there must be at least 5 medium sized carts and at least 5 large sized carts. How many of each cart size should be used to maximize the amount of rice that can be transported?",18,406,linear-notable,The number of medium sized carts
prob_408,prob_408,"A renewable energy company is planning to install three types of solar power plants: large-scale, medium-scale, and small-scale. The company needs to decide how many of each type of plant to build and how much capital to invest in each type of plant. The efficiency of energy production varies by plant size, and the cost of installation also differs. The daily energy output of each type of plant is proportional to the capital invested in that plant, as shown in the following Table. | Plant Type | Efficiency (kWh/day per $1,000) | Capital Investment per Plant | |------------------|---------------------------------|-----------------------------| | Large-scale | 16.67 | $60,000 | | Medium-scale | 14.00 | $50,000 | | Small-scale | 16.67 | $30,000 | The company has a total capital budget of $1,000,000 for investment in solar plants. Due to zoning regulations, the company can only build a maximum of 5 large-scale plants. The total number of plants (regardless of size) must not exceed 20. The company wants to maximize the total daily energy output.",16666.666666666668,407,nonlinear-table,Total Daily Energy Output
prob_409,prob_409,"Glueco has 5 different production lines for glue and needs to assign workers to each production line. The production rates for each type of glue on each production line are given in the following Table. | Production Line | Glue 1 Units/Worker/Hour | Glue 2 Units/Worker/Hour | Glue 3 Units/Worker/Hour | |-----------------|--------------------------|--------------------------|--------------------------| | 1 | 20 | 30 | 40 | | 2 | 50 | 35 | 45 | | 3 | 30 | 40 | 50 | | 4 | 40 | 45 | 50 | | 5 | 25 | 35 | 45 | Glueco needs to produce at least 120 units of glue 1, at least 150 units of glue 2, and at least 200 units of glue 3. The five production lines can only be opened or closed at the same time. Please determine the minimum time to meet the weekly demand. The company has a total of 80 workers available and each line can be utilized by up to 20 workers at a time.",0.05263157894736842,408,nonlinear-table,Minimum Time to Meet Weekly Demand
prob_410,prob_410,"A bakery produces four types of pastries: Croissant, Danish, Baguette, and Tart. They need to determine the quantities of each pastry to produce to maximize their profit while considering the cost of ingredients and the demand from customers. The profit per unit for each pastry and the requirements for a key ingredient, flour, are given in the following Table. | Pastry | Profit per Unit | Flour Required (g) | |----------|-----------------|--------------------| | Croissant| $3 (increases by $0.02 per unit if production exceeds 100) | 50 | | Danish | $4 (increases by $0.02 per unit if production exceeds 100) | 70 | | Baguette | $5 (increases by $0.02 per unit if production exceeds 100) | 60 | | Tart | $6 (increases by $0.02 per unit if production exceeds 100) | 80 | The bakery has a limited supply of flour, which is a key ingredient in all pastries. The total available flour is 50000 g. The bakery faces a demand limit for each type of pastry: 300 units for Croissant, 250 units for Danish, 200 units for Baguette, and 150 units for Tart. The bakery also has a production capacity of 700 units in terms of the total number of pastries it can produce. The bakery aims to maximize the total profit from selling the pastries, considering the economies of scale where the profit per unit increases by $0.02 for each pastry type if the production exceeds 100 units.",4900,409,nonlinear-table,Total Profit
prob_411,prob_411,"A metal-working shop has access to two types of metal-working equipment, a chop saw and a steel cutter. A chop saw can work 25 pounds of steel and generates 25 units of waste every day. A steel cutter can only cut 5 pounds of steel and generates 3 units of waste every day. The metal-working shop is expecting an increase in demand and must cut 520 pounds of metal every day. However, there is a waste limitation due to the fines that may be in place if too much heavy metal is discarded and they may at most produce 400 units of waste every day. How should the metal-working shop purchase their metal-working equipment to decrease the total number of metal-working equipment needed?",72,410,linear-notable,The total number of metal-working equipment
prob_412,prob_412,"A food company would like to run its commercials on three streaming platforms: Pi TV, Beta Video and Gamma Live. The cost for a commercial as well as the expected audience reach is given. On Pi TV, a commercial costs $1200 and attracts 2000 viewers. On Beta Video, a commercial costs $2000 and attracts 5000 viewers. On Gamma Live, a commercial costs $4000 and attracts 9000 viewers. Beta Video limits the number of commercials from a single company to 8. In order to attract a wide range of people, at most a third of all commercials should occur on Gamma Live and a minimum of 20% should occur on Pi TV. If the weekly budget is $20000, how many commercials should be run in each of the three possible choices in order to maximize audience?",46000,411,linear-notable,Total audience reached
prob_413,prob_413,Find two positive numbers whose sum is 300 and whose product is a maximum.,150,412,nonlinear-notable,The first number
prob_414,prob_414,"A company specializes in blending tea and offers five different blends: Zen, Energy, Relax, Extra, and Premium. They need to determine the quantities of each blend to produce. The initial profit per unit and the special tea leaves required per unit for each blend are given in the following Table. | Blend | Initial Profit per Unit | Special Tea Leaves Required per Unit | |----------|-------------------------|-------------------------------------| | Zen | 5$ | 10 g | | Energy | 7$ | 15 g | | Relax | 6$ | 12 g | | Extra | 8$ | 18 g | | Premium | 10$ | 20 g | The company has a limited supply of special tea leaves (1000 g), which are required for the production of each blend. The market has a demand limit for each blend. For Zen, the demand limit is 200 units. For Energy, the demand limit is 250 units. For Relax, the demand limit is 300 units. For Extra, the demand limit is 150 units. For Premium, the demand limit is 100 units. The company has a production capacity of 650 units in terms of the number of units it can produce. The company wants to maximize the total profit from selling the tea blends, considering that the profits of blends increase linearly according to the scale of production. When the production of each blend exceeds 50 units, the average profit per unit of the blend increases by $0.01.",550,413,nonlinear-table,Total Profit
prob_415,prob_415,A cone is made from a circular sheet. The radius of the circular sheet is 2m. The cone is formed by cutting out a sector from the circular sheet and then gluing the cut edges of the remaining piece together. We need to determine the maximum attainable volume for the cone.,3.224532575115765,414,nonlinear-notable,The maximum volume of the cone
prob_416,prob_416,"In an easy linear program, we have two vectors $x_{1}$, $x_{2}$, which $(x_{1},x_{2})\in\mathbb{R}^{2}$. As the constraints are $x_{1}\geq0, x_{2}\geq0,x_{2}-x_{1}\leq1,x_{1}+6x_{2}\leq15$, and $4x_{1}-x_{2}\leq10$. We need to find a point $(x_{1},x_{2})$ of this function to maximize the value $x_{1}+x_{2}$.",5,415,linear-notable,The maximum value of x1 + x2
prob_417,prob_417,"To graduate from Basketweavers University with a major in operations research, a student must complete at least two math courses, at least two OR courses, and at least two computer courses. Some courses can be used to fulfill more than one requirement, and some courses are prerequisites for others. Formulate an LP that minimizes the number of courses needed to satisfy the major requirements. Table (Courses and their corresponding requirement fulfillment): | Course Name | Fulfills Math Requirement | Fulfills OR Requirement | Fulfills Computer Requirement | Prerequisite For | | ------------------------------ | ------------------------- | ----------------------- | ----------------------------- | --------------------------- | | Calculus | Yes | No | No | Business Statistics | | Operations Research | Yes | Yes | No | None | | Data Structures | Yes | No | Yes | None | | Business Statistics | Yes | Yes | No | Forecasting | | Computer Simulation | No | Yes | Yes | None | | Introduction to Computer Programming | No | No | Yes | Computer Simulation, Data Structures | | Forecasting | Yes | Yes | No | None |",4,416,linear-table,The minimum number of courses needed
